frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
78,2313.0,[1038.2929032208908 1287.1240805599912 1683.0409134953293 1798.472601190488],[1262.7003173828125 1619.85546875 1440.119384765625 1685.4996337890625],0.4895453453063965,UNKNOWN,0
79,2313.0,[1035.7593819266185 1291.268112135267 1685.3081189116342 1804.3089317346257],[1271.73681640625 1635.359619140625 1444.9573974609375 1711.5655517578125],0.2844717502593994,GX15OGJ,0.17742417558597065
79,2340.0,[2228.5639788345143 1316.9728343880288 2799.3694837270023 1778.6635671537078],[2391.32763671875 1611.270751953125 2540.70556640625 1683.6234130859375],0.27433153986930847,UNKNOWN,0
80,2313.0,[1029.6986714482937 1296.8746833090372 1682.9638482153282 1810.4200021411598],[1256.2872314453125 1638.669189453125 1432.1239013671875 1712.0155029296875],0.2674911320209503,UNKNOWN,0
81,2313.0,[1023.3609142203294 1303.9577016267442 1681.7508946185344 1819.058202644029],[1257.595947265625 1634.7509765625 1445.2745361328125 1713.6378173828125],0.495878666639328,UNKNOWN,0
82,2313.0,[1016.7070250268573 1307.7634818570282 1678.5583713458511 1824.5923187933822],[1263.781494140625 1642.3062744140625 1453.23095703125 1721.419677734375],0.50914067029953,GX15OGJ,0.4623049735500568
83,2313.0,[1014.1303050409765 1315.0445588426346 1681.791832534048 1835.6159206612747],[1243.9071044921875 1651.0186767578125 1409.77197265625 1722.9613037109375],0.2673240005970001,UNKNOWN,0
84,2313.0,[1009.062921332325 1323.0192539114491 1682.2077546466644 1846.2521029405634],[1253.6072998046875 1678.932861328125 1419.8338623046875 1743.4744873046875],0.31864413619041443,GX15OGJ,0.2110128563470711
85,2313.0,[1004.8059801802551 1328.0594960343458 1681.2857102948692 1853.6004746274546],[1275.7078857421875 1690.2174072265625 1439.4388427734375 1744.4310302734375],0.32702991366386414,UNKNOWN,0
86,2313.0,[1001.6216370258294 1330.4597274695816 1683.1756485725405 1858.0619299178097],[1244.0672607421875 1671.7376708984375 1413.6834716796875 1739.52734375],0.37963753938674927,UNKNOWN,0
87,2313.0,[996.867095540417 1333.8521601918644 1683.6077268096894 1865.1648551428173],[1253.4400634765625 1680.930419921875 1436.2762451171875 1753.75341796875],0.46091634035110474,GX15OGJ,0.3932907858158771
88,2313.0,[995.2362180407943 1335.048876191384 1684.2640361560154 1870.3762260687008],[1237.4586181640625 1692.1041259765625 1425.89892578125 1762.43798828125],0.421835333108902,GX15OCJ,0.30326209394541886
89,2313.0,[993.940615272868 1339.5708658691012 1685.0044158897163 1874.4560612152889],[1228.28076171875 1696.1214599609375 1399.8460693359375 1763.759521484375],0.3340685963630676,UNKNOWN,0
